Rk   	Test		R-BW	R-Lat		W-BW	W-Lat
0	rd-r-linux	128345	120.229729	0	0.000000 
1 	rd-r-phaistos	125986	120.999122	0	0.000000 
2 	rd-rw-linux	63735	210.169420	63619	32.149969
3 	rd-rw-phaistos	58269	210.650933	58138	31.725392
4 	rd-w-linux	0	0.000000	152224	100.18247
5 	rd-w-phaistos	0	0.000000	152234	99.9894324
6 	sq-r-linux	312025	47.959900	0	0.000000 
7 	sq-r-phaistos	313245	47.960730	0	0.000000 
8 	sq-rw-linux	93482	86.752485	93727	77.101588
9 	sq-rw-phaistos	91825	88.759231	92086	77.930112
10	sq-w-linux	0	0.000000	172534	89.123037
11	sq-w-phaistos	0	0.000000	172345	89.056743
12	end		0	0.000000	172345	89.056743
